product_name,price,referral_link
rubber duck,$8.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NjM2Mzc3OTEzMzI5MDU6MTcyOTIwNjc2MjpzcF9hdGY6MjAwMDkyNTI0MjMzNjk4OjowOjo&url=%2FMYLIFEUNIT-Yellow-Rubber-Ducks-Child%2Fdp%2FB014URRS2G%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.slQfhzmBZuMKxunycYurk3rolMskUR1RmWSe1F_5gllhBdQlKqiHDBEdGyBBB2-nuW70ARmoR6ehnZb1s22m_5XprZBObD3Kyj1xm3Qeg2JQZQecqSDefL-89a1bXdhyZEvPzgaQzxaFgcXg--jrvucK7vbiWzjBgM9wtZxXOIdyq0tnWMXse1i5GqOIxdXD6n6PYW3guPwo7sUnuRzGutQfPC4zSs7miKwvXCoFokc6MkQNADu-COkx1N_ZQccv-nBa64GtquWvJIz6hzfDzTRrgimA5duMRdGwfW9xa8Y.sFOFeDIqryuBVxJtHkJuS27ztTfpCJMV1r0isp-7aJI%26dib_tag%3Dse%26keywords%3Drubber%2Bduck%26qid%3D1729206762%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1?tag=bdsmbbq-21
Yodelling Pickle,$7.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxODc4NDI1ODcxOTQ5MTc3OjE3MjkyMDc3MzI6c3BfYXRmOjMwMDA0MTk3NDY5MjAwMjo6MDo6&url=%2FDR-DINGUS-Yodeling-Pickle-Entertainment%2Fdp%2FB0C2N6XDM1%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.BWS2cWpW1kyUn92em4JOByZuvXAJUn0EQEuTvwr6dKf0VmWe3REToDcXODosuZ4Cny2NCjJxfjOrHaLldjJONidKipe6UVd47v0H-Wjo77_t9GQgC5ij3idbrGYdP5lc_ZCwH3aYs9macgQG1lqmtU_XHC30G7cFgNtylYHhUug.jl1YXW5b9hc2bkQi5ed0Ffz6qS1jVDKdaYYnoVxPTvE%26dib_tag%3Dse%26keywords%3DYodelling%2BPickle%26qid%3D1729207732%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1?tag=bdsmbbq-21
Bacon Flavored Toothpaste,$9.99,https://www.amazon.com/Fresh-Pig-Bacon-Flavored-Toothpaste/dp/B09ZQGGGQZ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.r4gtgx5zbHVGpcTa4gXweWyiFFXpWrbhWs_9Phox60cuTkT_qlcGBL2ltdobvoz4MMXpi7hlHyFWcbLHpKq-Yh6mY0gqj7PNIpBSoZ9AS-AK46jr5CwHR4uedKFt4lJkjcftoWNZeocuX_ax1z_aM9dhU6TRHt-keZFYTFHoTpzqs5tVsecwI_NLkBwY7XqAX-3svqnyT64-CgimjyR_KmQK3CHYPP-D58TB1ffFqNA.d4Y9W7uHz-6fRPsCtKJzTM2lh2pKX6C_JC7ssf_LPGc&dib_tag=se&keywords=Bacon+Flavored+Toothpaste&qid=1729207749&sr=8-2?tag=bdsmbbq-21
Nicolas Cage Sequin Pillow Cover,$12.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNTYyNTM0NTg1ODk1MjE3OjE3MjkyMDc3NzE6c3BfYXRmOjMwMDE2MDc4NzI0MDEwMjo6MDo6&url=%2FLydeLog-Nicolas-Reversible-Decorative-Cushion%2Fdp%2FB0CQP3ZJ2G%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.apP7dFRHmzkd0Gli2rbesPGveQn2CP8dpHEGbvBsygYZF6EA06at-MIy1aZpCtVu5BcnsfDkG3MSyeU5gbWHwhddiu2dnlAcMKkGAjaMfEAHnq_LATOk0mVQobIxxBlpj8xSBRwQQOeWS142aKi-YtOtjDvEmwL5PqR8JDJY0kysI83ZdCMNjK2c1ACsM6e-T6gO9AQtv1Uo3FuMFwZQT2OOCH3Yl7X3TQXrC9G0rWBjdQwNPaJcDybJAd6HLFD3AjAfiE0u0Vslt7oFCyPexxsQqaGKzlmi8qBvDR55lqU.NYbj7zuNyYrKDOryWGngURsws1-pqnk7SnXidwlK_wc%26dib_tag%3Dse%26keywords%3DNicolas%2BCage%2BSequin%2BPillow%2BCover%26qid%3D1729207771%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1?tag=bdsmbbq-21
Inflatable Dinosaur Costume,$39.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NzczMzY5MjY0MjA1MDg4OjE3MjkyMDc3ODM6c3BfYXRmOjMwMDQzMDY5MDk3OTQwMjo6MDo6&url=%2FYEAHBEER-Inflatable-Dinosaur-Costume-Halloween%2Fdp%2FB0D6KMTR9J%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.-br7hYQ7Sl1V7lA5ruVWKmvvEx6kKHOMTH1uF9XCCTiEkeU0Yuh8rWfzfLnY8E45_VWEOaHBn9PjREZ5R1MCtY0B8M-n8w1tVJ2jGhKe3DEZuoOnT9dGj5orpkcpP_-MQ_HzsfdF2hW9xrEfxgbQJ-_l7E9iPE_x6FyZP6EjlJqwckFXuCjVGz10ZgZJNDNWE-HP2BvM-Z-0Yc0nv9_zogaxR1mgdFsC1iUWY6Hh6V87BhEAMzPmD_rAlXzSdSp5prW7GyxtDzoSLsaShJXM22dEyiSgd2P2c0W0fTjOn0A.hUykXulaI8jqBhhlEIQ72d2DGlmYxNTJVOjpptBXxqo%26dib_tag%3Dse%26keywords%3DInflatable%2BDinosaur%2BCostume%26qid%3D1729207782%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1?tag=bdsmbbq-21
Cat Butt Tissue Holder,$40.95,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3NzA2Mzg0MjYzOTA5NTU3OjE3MjkyMDc3OTM6c3BfYXRmOjMwMDMxNDUwNTk4MjEwMjo6MDo6&url=%2FHome-X-Tissue-Holder-Lovers-Hilarious%2Fdp%2FB08P5ZL81X%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.S4jaix5SEAuPNQ7RziIIodMOpheXM49vyhuGcLEJpOdotyw4zKPx1jPSr_70Th0pkJe5CNg7QEhdoTGaTn_VTgt91rjwd751LBAikraWGQnNETtCrG0QrIhaSGOnqyHf7QpBshmqb9JUVnbYj8PT38cgMPnmvaxtK4oYvm2HMra0rR9zgr-LOwxgSm8rUcEifYVz6GJbhX8GwlFM_YHWabm78CFsScqCs-OemjJgowLzSyOS0c--VaEOl8PndWUraICj7rKgeIcNMIMos3nauRL53zLxvhkdNOjlzqWhFJk.PjwTjd-D8ZAhSZgifA1cjZoDcmRMx6IzURbJtdeYQfs%26dib_tag%3Dse%26keywords%3DCat%2BButt%2BTissue%2BHolder%26qid%3D1729207793%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1?tag=bdsmbbq-21
Life-Size Cardboard Cutout of Danny DeVito,$64.95,https://www.amazon.com/Novelty-Native-Standup-Cardboard-Creaseless/dp/B0CFJ31CJV/ref=sr_1_1?dib=eyJ2IjoiMSJ9.XztQZa-EYo7k250tlqwZrqTxNmfZ4lZU736R4r8D4sG9-BCbRs9Noj1rX6rcZN8Fd1MZClAl0_TbSbl-5G8rA86oPurpTdIYhmunZZhd_7Ni-rrxos4DjL7Srq8uml5RCBH7GDoF3ZXTd87DlDYWXVAeuWQy-nrHXNW4h8p10RfijD28DsxS2q2rg9-tHI3YRqY6XKXN13uGvU7-2hWmyXsNwzKD84U05LFxkXEORXfet-K9T7Ak7mLEjFtjskbP.K7AH9FQfdFxQDKGgaX19qE8-AxR6b_hiPez7hY0N23Y&dib_tag=se&keywords=Life-Size+Cardboard+Cutout+of+Danny+DeVito&qid=1729207807&sr=8-1?tag=bdsmbbq-21
Toilet Golf Game,$17.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4OTM2MjcwNjE0NDk5NTY4OjE3MjkyMDc4MTc6c3BfYXRmOjMwMDE3NTQ3NzQ5MzcwMjo6MDo6&url=%2FGOODLYSPORTS-Game-Practice-Bathroom-Time-Funny-Christmas%2Fdp%2FB0BBCHQJSN%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.JxQGZ9IdaaRUxigUiu0NHdDZXKEtpD6BS0URuqZmRIm9uTJnSdD9MDSSgPUukfC4FLsK6xcyEr5Dedrvk6QLB4NCPNbU2Mq4SR68j6kYm5fkPQvqjkUgjM9aB-K6ldyc9cfDR-6p280_hJkTfTdc9LmMEQk29j8C6wQtaiORBJSNOW7ZKCd_ICwWpYX2z97qKGWsCn5bY_Pc7zNVy9eNn0vZsV3S4XL-brDpBiH4sAwqCs__0bKK7eX6qDcz7H52O6Evp7svbKU2S9AKLOylYkWaygwMXuoslof_zwFBc78.sfpzcDRtk2hHtNaxlGn_teSPY8SbVePZowCj4FxHvY0%26dib_tag%3Dse%26keywords%3DToilet%2BGolf%2BGame%26qid%3D1729207817%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1?tag=bdsmbbq-21
Unicorn Meat,$9.99,https://www.amazon.com/Exclusive-Plushies-Essentials-Hilarious-Imaginative/dp/B09Y1J97Q9/ref=sr_1_1?dib=eyJ2IjoiMSJ9.FXt15xY5j0ZKczpcqFGHcEljMyuGJpMFiwc_j7Fu9nB_abFqINaxc3k-dLQ0aJsifzAdS7wFNF7RHpfPaHwiynHtxJ3zPGm31GiM4rA6MEo6kWswgtNnLk4rhlqK1NwX54BQ88j4_8lw-QoA1b-pw53dpeiM78hVCP31HulRfC3rZ1N25cQw56mzgyNYuUeTBnqcR99BBaM2LH_Iq89Nx5lPFaElrLsfPMuZ1W-Ms07CnsOjI5X7YVCRe2mvBf5OB5Dc0j9TbA_MsMcWDDONbf5IxK7QDYq_U91gOHNDnpU.NXa7cOdUoFDpnTeZw_S4WL5xlLUcCMMScjWf_GfxddM&dib_tag=se&keywords=Unicorn+Meat&qid=1729207829&sr=8-1?tag=bdsmbbq-21
Emergency Underpants,$11.99,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1MDcwMzk0NTE1NzgxNzY3OjE3MjkyMDc5MTE6c3BfYXRmOjIwMDA5MTU2MDI1MTcxMTo6MDo6&url=%2FBrown-Commandos-Emergency-Underpants-Pairs%2Fdp%2FB07PK5MSVX%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.nInBPQvzNFd37y1AJpgKI5AJ_WvyEi-g3cSaaRH36cAsH998bPNVu5fLZALRq9W3nYwj5vkPhSB4hoEe-17VxnMMZN9k6DQUGD7OolIRO_n3F72lUG58Hf4i8fySs-kAMk2IX2OzVCDmBb7WjYptsbKUfRGq9F5N-GLT6zF2FkoSB6bxDLpEgW1V7nNnxQB1ksOcukcMe8UMIQOWTv9fgD7YN8Wm2q3tD2bOxhyLyHG8G4xSpn-Q7JeI-RlFtk2hS9Glxdbk_aPmxwEs2vc8rH263XOzQSGXTtxeg_8avIQ.vDtM-66y8egXsH4OXOQtjwlVmX8K04p5B01O6imq0Vc%26dib_tag%3Dse%26keywords%3DEmergency%2BUnderpants%26qid%3D1729207911%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1?tag=bdsmbbq-21
